Khóa,Mã HP,Tên HP,Số TC,Ngành,Kiểu môn
25,TC313,Kỹ thuật truyền dẫn,3,TC,1
25,TC314,Kỹ thuật kết nối mạng,3,TC,1
25,TC315,Công nghệ mạng truyền thông,3,TC,1
25,IS206,Kỹ năng soạn thảo văn bản,3,TC,0
25,IS207,Kỹ năng tạo báo cáo,3,TC,0
25,IS333,Phân tích thiết kế hệ thống thông tin,2,TC,0
25,CS311,Lập trình ứng dụng di động,3,TC,0
25,CS411,Ứng dụng kỹ thuật vi xử lý trong đo lường và điều khiển,2,TC,0
25,CF201,Lý thuyết thuật toán,3,TC,0
25,MI321,Trí tuệ nhân tạo,3,TC,0
25,NW322,Lập trình mạng,3,TC,0
25,TC403,Mạng truy nhập,2,TC,0
25,TC473,Quản lý mạng viễn thông,3,TC,0
25,IP402,Thực tập ngành Truyền thông và mạng máy tính,2,TC,1
25,TC487,CĐTN: Truyền thông và mạng máy tính,6,TC,1
25,MA102,Toán cơ sở,3,TE,1
25,CS100,Tin đại cương,2,TE,1
25,CS121,Ngôn ngữ lập trình,3,TE,1
25,CS122,Lập trình hướng đối tượng,3,TE,1
25,CS212,Kiến trúc máy tính,3,TE,1
25,MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",4,TE,1
25,MA231,Xác suất thống kê ứng dụng,4,TE,1
25,MA241,Toán tài chính,2,TE,1
25,NW212,Mạng máy tính,2,TE,1
25,IS222,Cơ sở dữ liệu,3,TE,1
25,CS223,Lập trình Java,3,TE,1
25,CS224,Lập trình .Net,3,TE,1
25,CS325,Lập trình Web,3,TE,1
25,IS322,Hệ quản trị cơ sở dữ liệu,3,TE,1
25,IS332,Phân tích thiết kế hướng đối tượng,3,TE,1
25,IS333,Phân tích thiết kế hệ thống thông tin,2,TE,1
25,IS381,Hệ thống thông tin quản lý,3,TE,1
25,SE302,Công nghệ phần mềm,2,TE,1
25,IS206,Kỹ năng soạn thảo văn bản,3,TE,0
25,IS207,Kỹ năng tạo báo cáo,3,TE,0
25,IS424,Lập trình cơ sở dữ liệu,3,TE,0
25,NW312,Thiết kế và quản trị mạng,3,TE,0
